,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Tests/1Mpop,Population
0,USA,31647543,10300,572988,139,24207043,6867512,9057,95184,1723,413593155,1243928,332489703
1,Brazil,13197031,0,341097,0,11664158,1191776,8318,61750,1596,28600000,133822,213716460
2,India,12978132,52071,167105,213,11867486,943541,8944,9334,120,252677379,181732,1390382831
3,France,4841308,0,97722,0,301299,4442287,5626,74044,1495,67791157,1036811,65384318
4,Russia,4614834,8672,101845,365,4239038,273951,2300,31612,698,122600000,839827,145982499
5,UK,4370321,3030,126980,53,3945354,297987,440,64119,1863,133233062,1954731,68159282
6,Italy,3700393,0,112374,0,3040182,547837,3683,61271,1861,51755739,856975,60393531
7,Turkey,3633925,0,32943,0,3194978,406004,2604,42735,387,40385250,474936,85033013
8,Spain,3326736,0,76037,0,3085059,165640,2009,71132,1626,43458915,929231,46768680
9,Germany,2938630,11058,78292,118,2631400,228938,4439,34988,932,51559277,613878,83989395
10,Poland,2499507,27887,56659,954,2076504,366344,3362,66099,1498,12700278,335855,37814773
11,Colombia,2479617,0,64767,0,2345471,69379,2603,48338,1263,13042268,254247,51297612
12,Argentina,2450068,0,56832,0,2174625,218611,3642,53832,1249,9266106,203592,45513099
13,Mexico,2261879,5499,205598,596,1798657,257624,4798,17403,1582,6191679,47640,129968675
14,Iran,2006934,22586,63884,185,1684570,258480,4221,23663,753,13412327,158138,84814315
15,Ukraine,1803998,19419,35962,464,1383883,384153,177,41441,826,8514631,195596,43531619
16,Peru,1607898,0,53725,0,1527112,27061,2249,48252,1612,9709043,291365,33322600
17,Czechia,1567848,7015,27466,56,1434281,106101,1349,146197,2561,13812844,1288004,10724225
18,South Africa,1553609,0,53111,0,1479821,20677,546,25945,887,10020025,167335,59880039
19,Indonesia,1552880,5504,42227,163,1399382,111271,0,5632,153,13208066,47901,275735418
20,Netherlands,1327136,7783,16691,19,0,0,788,77321,972,10795845,628983,17163958
21,Chile,1043022,0,23796,0,980245,38981,3029,54206,1237,11603698,603047,19241784
22,Canada,1032945,4904,23201,28,946251,63493,835,27186,611,28455431,748918,37995393
23,Romania,993613,4989,24733,172,890528,78352,1495,51916,1292,7591365,396645,19138936
24,Belgium,908212,3539,23301,54,58568,826343,898,78104,2004,11511956,989996,11628288
25,Iraq,903439,7817,14606,34,799327,89506,454,22084,357,8380401,204854,40909209
26,Sweden,849629,0,13595,32,0,0,345,83728,1340,7530772,742130,10147504
27,Israel,835385,169,6270,4,824344,4771,290,90827,682,13686147,1488014,9197590
28,Philippines,828366,9216,14119,60,646968,167279,785,7483,128,10572920,95514,110695150
29,Portugal,825633,602,16899,9,782895,25839,122,81152,1661,9291032,913226,10173859
30,Pakistan,705517,5329,15124,98,623399,66994,3942,3147,67,10584877,47220,224159995
31,Hungary,698490,4814,22681,272,419765,256044,1337,72446,2352,4825607,500504,9641501
32,Bangladesh,666132,6854,9521,74,565030,91581,0,4014,57,4915758,29623,165944401
33,Jordan,655456,4775,7565,96,576771,71120,729,63757,736,6238652,606837,10280612
34,Serbia,633013,3625,5620,41,541317,86076,265,72674,645,3547832,407314,8710312
35,Switzerland,615024,2449,10441,9,556090,48493,189,70667,1200,6300365,723923,8703085
36,Austria,568914,2906,9586,40,525682,33646,578,62893,1060,25868498,2859734,9045771
37,Morocco,499688,0,8867,0,486349,4472,251,13416,238,6051185,162470,37244942
38,Japan,492875,3299,9301,22,457050,26524,464,3906,74,10244852,81193,126178877
39,Lebanon,485918,0,6512,0,391197,88209,875,71438,957,3632919,534100,6801941
